"","day","temp","dewp","wdsp","nrm"
"370",3,27.5,16.9,8.3,0.300261096605744
"371",4,31.1,20.3,7,0.297650130548303
"372",5,38.6,24.3,6.3,0.506527415143603
"373",6,41.9,34.6,5.8,0.600522193211488
"374",7,40.5,37.2,6.2,0.360313315926893
"375",1,20.6,13.1,15.6,0.221932114882507
"376",2,8.3,-0.8,9.8,0.00261096605744125
"377",3,16.2,6.3,14.3,0.0939947780678851
"378",4,9,-0.1,8.2,0.370757180156658
"379",5,33.9,24.8,8.6,0.579634464751958
"380",6,41.1,34.5,10.8,0.577023498694517
"381",7,30.4,20.3,11.2,0.362924281984334
"382",1,9.6,-3.8,13.6,0.0652741514360313
"383",2,2.8,-10.8,11.5,0.00783289817232376
"384",3,8.1,-5.3,6.4,0.255874673629243
"385",4,18.8,8.5,2.9,0.279373368146214
"386",5,21.3,12.6,2.7,0.318537859007833
"387",6,27.3,18.6,7.6,0.493472584856397
"388",7,30,19,6.5,0.548302872062663
"389",1,29.1,18.3,7.5,0.425587467362924
"390",2,34.3,25.4,7.2,0.605744125326371
"391",3,33.5,27,14.3,0.33420365535248
"392",4,29.1,16.6,9.8,0.409921671018277
"393",5,35.7,26,13.4,0.62402088772846
"394",6,30.5,14.5,9,0.610966057441253
"395",7,39.9,29,8.9,0.600522193211488
"396",1,44.6,39.2,7.6,0.399477806788512
"397",2,37.1,30.2,5.4,0.887728459530026
"398",3,37.1,31.5,9.2,0.266318537859008
"399",4,37.3,33.6,9.8,0.443864229765013
"400",5,28.1,16.6,10,0.412532637075718
"401",6,30.5,20.7,6.3,0.386422976501305
"402",7,32.3,22.4,7.3,0.477806788511749
"403",1,39.8,28.6,10.1,0.274151436031332
"404",2,32.4,23.4,8.9,0.151436031331593
"405",3,20.4,11.8,11,0.0861618798955614
"406",4,15.2,2.4,11.1,0.138381201044386
"407",5,15.4,-0.8,7.1,0.182767624020888
"408",6,21,5.2,10.4,0.349869451697128
"409",7,11.5,-9,11.8,0.221932114882507
"410",1,15.8,1.9,8.8,0.00522193211488251
"411",2,22.5,17.7,6.9,0.107049608355091
"412",3,29.2,22.3,3.6,0.295039164490862
"413",4,30.8,20.9,5.9,0.336814621409922
"414",5,32.5,21.3,9.5,0.441253263707572
"415",6,50.2,34.6,20.9,0.68668407310705
"416",7,51.2,30.9,11.8,0.496083550913838
"417",1,41.5,30.9,9.3,0.506527415143603
"418",2,36.7,25.5,4.2,0.331592689295039
"419",3,37.9,24.6,6.1,0.308093994778068
"420",4,36.4,26.2,19.9,0.172323759791123
"421",5,34.4,23.8,16.2,0.488250652741514
"422",6,32.7,15.3,10.1,0.595300261096606
"423",7,38.1,24.4,10.6,0.467362924281984
"424",1,52.2,36.5,14.4,0.29242819843342
"425",2,42.1,28.9,14.6,0.349869451697128
"426",3,29.8,22.8,16.2,0.796344647519582
"427",4,23.2,6.8,7.2,0.248041775456919
"428",5,31.2,23.5,6.9,0.27154046997389
"429",6,31.9,19.4,7.2,0.496083550913838
"430",7,34.6,27.1,8,0.488250652741514
"431",1,40.8,29.1,8.9,0.527415143603133
"432",2,52.6,38.9,11.1,0.738903394255875
"433",3,63.2,48,12.2,0.550913838120104
"434",4,62.1,53.8,9.4,0.436031331592689
"435",5,50.1,40.1,7.9,0.532637075718016
"436",6,44.1,33,5.4,0.577023498694517
"437",7,46.1,37.3,4.3,0.610966057441253
"438",1,48,43.5,7.5,0.302872062663185
"439",2,46.3,43.6,4.7,0.449086161879896
"440",3,52.1,45.1,7.4,0.524804177545692
"441",4,54.7,40.6,19.8,0.608355091383812
"442",5,50,27.3,14.1,0.590078328981723
"443",6,42.9,26.6,9.1,0.72845953002611
"444",7,39.5,29.6,7.3,0.488250652741514
"445",1,38.8,25.5,9.4,0.451697127937337
"446",2,40.1,22.9,4.8,0.488250652741514
"447",3,52.1,30.6,11.9,0.548302872062663
"448",4,45.7,35.9,11,0.454308093994778
"449",5,38.7,36.8,9.4,0.430809399477807
"450",6,35.8,25.6,8.5,0.532637075718016
"451",7,42.7,31.7,6.5,0.5822454308094
"452",1,50.2,37.9,7.2,0.310704960835509
"453",2,46.2,36,9.7,0.597911227154047
"454",3,45.9,30.4,3.7,0.592689295039164
"455",4,51.4,34.1,11.2,0.532637075718016
"456",5,60.9,54,15.2,0.631853785900783
"457",6,45.1,36.9,8.1,0.819843342036554
"458",7,36.8,23.8,16.1,0.362924281984334
"459",1,43.1,20.7,12,0.506527415143603
"460",2,40.4,28.1,16,0.386422976501305
"461",3,36.1,17.5,8.5,0.425587467362924
"462",4,46.3,36,10.6,0.386422976501305
"463",5,41.3,33.4,11.9,0.600522193211488
"464",6,38.9,26.7,10.3,0.297650130548303
"465",7,31.1,14.1,12.2,0.462140992167102
"466",1,39.1,26.7,11.8,0.501305483028721
"467",2,49.3,37.6,9.7,0.428198433420366
"468",3,41.4,21,7.6,0.493472584856397
"469",4,44.7,26.6,7.3,0.527415143603133
"470",5,50.2,27.3,7.7,0.464751958224543
"471",6,55.2,32.5,7.3,0.780678851174935
"472",7,61,38.1,6,0.579634464751958
"473",1,64.7,38.7,6.1,0.511749347258486
